provinsi,year,forest_type,hectare,pct_to_boundary
Papua Barat,1990,Hutan Lahan Kering Primer,6830795.948,68.71189732
Papua Barat,1996,Hutan Lahan Kering Primer,6830795.948,68.71189732
Papua Barat,2000,Hutan Lahan Kering Primer,5915228.586,59.50208179
Papua Barat,2003,Hutan Lahan Kering Primer,5509157.487,55.41735787
Papua Barat,2006,Hutan Lahan Kering Primer,5358819.609,53.90508888
Papua Barat,2009,Hutan Lahan Kering Primer,5241664.621,52.72661107
Papua Barat,2011,Hutan Lahan Kering Primer,5236503.719,52.67469685
Papua Barat,2012,Hutan Lahan Kering Primer,5234751.665,52.65707271
Papua Barat,2013,Hutan Lahan Kering Primer,5100066.058,51.30225203
Papua Barat,2014,Hutan Lahan Kering Primer,5093932.736,51.24055612
Papua Barat,2015,Hutan Lahan Kering Primer,4861382.748,48.90130443
Papua Barat,2016,Hutan Lahan Kering Primer,4797121.787,48.25489477
Papua Barat,2017,Hutan Lahan Kering Primer,4741946.054,47.69987463
Papua Barat,2018,Hutan Lahan Kering Primer,4726147.441,47.54095426
Papua Barat,2019,Hutan Lahan Kering Primer,4850727.401,48.79412087
Papua Barat,2020,Hutan Lahan Kering Primer,5004866.484,50.34462668
Papua Barat,1990,Hutan Lahan Kering Sekunder,792938.8106,7.976278394
Papua Barat,1996,Hutan Lahan Kering Sekunder,792938.8106,7.976278394
Papua Barat,2000,Hutan Lahan Kering Sekunder,1666255.419,16.76108789
Papua Barat,2003,Hutan Lahan Kering Sekunder,2068991.458,20.812264
Papua Barat,2006,Hutan Lahan Kering Sekunder,2215927.943,22.29031791
Papua Barat,2009,Hutan Lahan Kering Sekunder,2324647.779,23.3839454
Papua Barat,2011,Hutan Lahan Kering Sekunder,2327885.554,23.41651461
Papua Barat,2012,Hutan Lahan Kering Sekunder,2312388.941,23.2606321
Papua Barat,2013,Hutan Lahan Kering Sekunder,2437323.604,24.51736672
Papua Barat,2014,Hutan Lahan Kering Sekunder,2441755.651,24.56194928
Papua Barat,2015,Hutan Lahan Kering Sekunder,2663544.698,26.79295519
Papua Barat,2016,Hutan Lahan Kering Sekunder,2718334.449,27.34409269
Papua Barat,2017,Hutan Lahan Kering Sekunder,2745329.211,27.61563663
Papua Barat,2018,Hutan Lahan Kering Sekunder,2227385.474,22.40557077
Papua Barat,2019,Hutan Lahan Kering Sekunder,2271614.834,22.85047986
Papua Barat,2020,Hutan Lahan Kering Sekunder,2048980.399,20.61097006
Papua Barat,1990,Hutan Mangrove Primer,331518.5999,3.334790289
